dec ra err type kind energy time
-79.29183 37.24322 0 null gamma_ray 377.8977 1498091533.9678
-32.44674 25.6588 0 null gamma_ray 243.9691 1498091534.2704
-42.74936 75.41441 0 null gamma_ray 1610.776 1498091534.7698
-29.79394 77.24509 0 null gamma_ray 205.8055 1498091534.8163
-34.8816 66.44684 0 null gamma_ray 214.8022 1498091534.9538
-38.97751 73.21461 0 null gamma_ray 919.8104 1498091535.2088
-31.88635 71.52809 0 null gamma_ray 123.8469 1498091535.2181
-9.225632 298.6638 0 null gamma_ray 542.0798 1498091535.2958
-37.5742 329.3631 0 null gamma_ray 108.6266 1498091535.4503
6.122797 351.1994 0 null gamma_ray 242.1488 1498091535.6809
-41.60161 74.17622 0 null gamma_ray 225.16 1498091535.7359
-64.25459 351.692 0 null gamma_ray 84.236 1498091536.2956
-34.92095 71.70367 0 null gamma_ray 147.1179 1498091536.5497
-53.62758 106.6749 0 null gamma_ray 127.7705 1498091536.9199
-50.09213 91.33946 0 null gamma_ray 389.2573 1498091537.0634
-48.75319 104.319 0 null gamma_ray 272.5346 1498091537.069
-45.98642 91.10165 0 null gamma_ray 216.8629 1498091537.1678
-32.62676 58.48921 0 null gamma_ray 213.5381 1498091537.2705
-51.28717 137.2287 0 null gamma_ray 717.6009 1498091537.5551
-39.38007 86.15105 0 null gamma_ray 171.4729 1498091537.6231
-32.75429 7.048553 0 null gamma_ray 37.64536 1498091537.7712
-48.46556 107.2452 0 null gamma_ray 161.1113 1498091537.8422
-44.4405 153.8498 0 null gamma_ray 346.9402 1498091537.98
-40.82281 84.45026 0 null gamma_ray 573.9056 1498091538.0029
-51.78418 151.0804 0 null gamma_ray 429.0729 1498091538.1518
-50.94619 129.2046 0 null gamma_ray 303.0014 1498091538.3262
-0.4410716 300.57 0 null gamma_ray 590.2727 1498091538.3296
-25.21423 61.48855 0 null gamma_ray 443.5894 1498091538.3506
-52.71249 127.1423 0 null gamma_ray 205.8151 1498091538.3531
-17.12902 274.8038 0 null gamma_ray 597.2947 1498091538.411
-54.2025 113.2335 0 null gamma_ray 126.7029 1498091538.4272
-25.95463 285.0859 0 null gamma_ray 62.40901 1498091538.5414
-45.65933 141.6855 0 null gamma_ray 222.3786 1498091538.8013
-51.54456 97.925 0 null gamma_ray 160.3228 1498091538.8367
-56.87988 113.8272 0 null gamma_ray 124.5913 1498091538.9334
-61.36452 43.08276 0 null gamma_ray 769.5307 1498091538.9769
-68.03892 116.3147 0 null gamma_ray 90.5741 1498091539.4627
-49.40173 93.70871 0 null gamma_ray 1445.047 1498091539.5409
-46.24311 75.61288 0 null gamma_ray 53.84681 1498091539.7127
-78.56657 143.2861 0 null gamma_ray 110.244 1498091539.82
-36.13737 247.6694 0 null gamma_ray 153.3449 1498091540.2756
-47.3406 87.68669 0 null gamma_ray 133.6486 1498091540.3491
-61.50137 37.74841 0 null gamma_ray 857.1428 1498091540.8934
-50.5458 100.2511 0 null gamma_ray 197.6169 1498091540.9557
-51.63044 215.7249 0 null gamma_ray 305.4325 1498091541.0742
-38.24837 18.67411 0 null gamma_ray 127.1517 1498091541.1728
-46.09876 134.9072 0 null gamma_ray 323.8733 1498091541.1858
-53.40089 117.5316 0 null gamma_ray 231.1765 1498091541.2111
-51.33911 115.8627 0 null gamma_ray 259.9063 1498091541.3129
-44.04392 80.91454 0 null gamma_ray 502.7182 1498091541.8193
-66.77815 175.3741 0 null gamma_ray 544.1755 1498091542.0394
-51.64703 104.2418 0 null gamma_ray 379.6858 1498091542.23
-24.13507 310.875 0 null gamma_ray 287.7041 1498091542.3726
-33.8967 73.78767 0 null gamma_ray 336.7606 1498091542.5193
-11.19014 271.9748 0 null gamma_ray 171.3177 1498091542.812
-49.33039 110.0111 0 null gamma_ray 333.2617 1498091542.8318
-22.70252 243.7158 0 null gamma_ray 254.1339 1498091542.9
-44.39021 121.4895 0 null gamma_ray 163.7314 1498091543.2454
-57.30412 33.87955 0 null gamma_ray 111.1446 1498091543.7865
-43.08175 256.8163 0 null gamma_ray 787.7609 1498091543.8839
-61.84879 152.7114 0 null gamma_ray 112.988 1498091543.9213
-34.35362 69.2506 0 null gamma_ray 426.6062 1498091544.0458
-52.38139 103.0682 0 null gamma_ray 670.8427 1498091544.0643
-45.47245 124.2937 0 null gamma_ray 452.94 1498091544.1272
-62.17011 137.103 0 null gamma_ray 156.6628 1498091544.1814
-46.29669 147.5821 0 null gamma_ray 455.8148 1498091544.3189
-50.18153 134.7605 0 null gamma_ray 285.5311 1498091544.6263
-20.27075 270.2509 0 null gamma_ray 126.8719 1498091544.8817
-37.71273 71.82464 0 null gamma_ray 468.491 1498091544.9546
-27.98562 61.08016 0 null gamma_ray 86.48085 1498091544.957
-49.31577 138.5835 0 null gamma_ray 354.7139 1498091545.0791
-46.00943 87.93284 0 null gamma_ray 222.2865 1498091545.2962
-50.82898 137.6481 0 null gamma_ray 308.3125 1498091545.4197
-28.17978 68.80453 0 null gamma_ray 977.6854 1498091545.505
-60.25238 80.35572 0 null gamma_ray 131.9295 1498091545.7418
-48.8007 89.88011 0 null gamma_ray 185.3618 1498091546.1663
-46.67664 34.77742 0 null gamma_ray 994.36 1498091546.2818
